id,model,ils,alpha_preserve,delta_edit_gain,gamma_orig_preserve,s_o_po,s_e_po,s_o_pe,s_e_pe
5a39f87081ce4376b7ec19621c063698,baseline,-0.019746869802474976,1.0,0.07528693228960037,-0.019746869802474976,0.28027355670928955,0.3000204265117645,0.2730075716972351,0.3482944965362549
864fe82d5d21474c82454133ce0e24ad,baseline,-0.002297915518283844,1.0,0.002297915518283844,-0.002297915518283844,0.2657599449157715,0.26805785298347473,0.2657599449157715,0.26805785298347473
f5290ac62c444119a5146ce6d85d8244,baseline,0.0035649165511131287,1.0,-0.0028658397495746613,0.0035649165511131287,0.208013117313385,0.20444819331169128,0.21565431356430054,0.21278847754001617
df12f702f3ea41f7bb395242aa61b0b0,baseline,-0.00016795098781585693,1.0,0.00016795098781585693,-0.00016795098781585693,0.21496687829494476,0.21513482928276062,0.21496687829494476,0.21513482928276062
248daa3e3f544ba1991bbfba950e6316,baseline,0.030332133173942566,1.0,0.005046926438808441,0.030332133173942566,0.31662097573280334,0.286288857460022,0.3031845986843109,0.30823153257369995
b643a29b96a44d4694a7bd3ea491bb8a,baseline,0.03851540759205818,1.0,-0.0026042647659778595,0.03851540759205818,0.2511642575263977,0.21264886856079102,0.2551860213279724,0.25258177518844604
b7eda88f2918497a946806a29816ca49,baseline,-0.0004912093281745911,1.0,0.0004912093281745911,-0.0004912093281745911,0.20872224867343903,0.2092134654521942,0.20872224867343903,0.2092134654521942
4fcb213149b04cb8bb9daea8018ac67a,baseline,-0.013231273740530014,1.0,0.045017749071121216,-0.013231273740530014,0.25704464316368103,0.27027592062950134,0.23778174817562103,0.28279951214790344
fb8638a866d349b2b364cac100ff6c99,baseline,-0.0008225739002227783,1.0,0.0008225739002227783,-0.0008225739002227783,0.3140386939048767,0.3148612380027771,0.3140386939048767,0.3148612380027771
802a2a8424b94a80922433d51a95e779,baseline,-0.015291683375835419,1.0,0.03371844068169594,-0.015291683375835419,0.19351164996623993,0.20880332589149475,0.198837012052536,0.23255544900894165
d77d97fd9c7041f8b7af98d5ebe99cd3,baseline,-0.001460045576095581,1.0,0.001460045576095581,-0.001460045576095581,0.23481428623199463,0.2362743318080902,0.23481428623199463,0.2362743318080902
c3b7de17c84a4b30a28a1b1ec143cb52,baseline,-0.008202657103538513,1.0,0.029528304934501648,-0.008202657103538513,0.25638407468795776,0.26458674669265747,0.25406187772750854,0.2835901975631714
32e8acad50f2428891de6b05b8b10c83,baseline,0.000900018960237503,1.0,-0.000900018960237503,0.000900018960237503,0.23285332322120667,0.23195329308509827,0.23285332322120667,0.23195329308509827
3c1044815e3f491e83b2038ca5dfae7a,baseline,-0.0007905438542366028,1.0,0.0007905438542366028,-0.0007905438542366028,0.32131803035736084,0.32210856676101685,0.32131803035736084,0.32210856676101685
e7af0e7390754da78577311949e27781,baseline,-0.008202657103538513,1.0,0.029528304934501648,-0.008202657103538513,0.25638407468795776,0.26458674669265747,0.25406187772750854,0.2835901975631714
8ca7849e57b74f08b4ff1ef473950893,baseline,0.0007091164588928223,1.0,-0.0007091164588928223,0.0007091164588928223,0.3008328676223755,0.30012375116348267,0.3008328676223755,0.30012375116348267
7bf9719c7aa84660b3e4a91fb0668c98,baseline,-0.0028712376952171326,1.0,0.04378637298941612,-0.0028712376952171326,0.2607264518737793,0.263597697019577,0.245437353849411,0.28922373056411743
279c001d2b7442448e92e3a53fea19c6,baseline,0.020796798169612885,1.0,-0.007188580930233002,0.020796798169612885,0.33878612518310547,0.3179893493652344,0.33939844369888306,0.33220988512039185
124208a44b1340eea1ff5572b37ab715,baseline,0.028986312448978424,1.0,-0.010602138936519623,0.028986312448978424,0.316409170627594,0.28742286562919617,0.3203585147857666,0.30975639820098877
f51a5b06892a45799494770db8691a79,baseline,-0.015899300575256348,1.0,0.04868979752063751,-0.015899300575256348,0.3141646385192871,0.33006393909454346,0.28201964497566223,0.33070945739746094
cfdc580a27b04400b3abbdba442d151b,baseline,-0.04156544432044029,1.0,0.08180267363786697,-0.04156544432044029,0.2106122523546219,0.2521776854991913,0.21398593485355377,0.29578861594200134
9fc44ece6a1b4c40990873b11006aafd,baseline,0.000657893717288971,1.0,-0.000657893717288971,0.000657893717288971,0.34938114881515503,0.34872323274612427,0.34938114881515503,0.34872323274612427
5a2c5de778a6424ea22ed6b769e75325,baseline,-0.00017802417278289795,1.0,0.00017802417278289795,-0.00017802417278289795,0.31798815727233887,0.31816619634628296,0.31798815727233887,0.31816619634628296
bee76f096747481bab9a3f644252affd,baseline,-0.02683611959218979,1.0,0.05187537148594856,-0.02683611959218979,0.18470677733421326,0.21154288947582245,0.18637174367904663,0.2382471263408661
b9dd6af8389b438b8c1e36332e97c0e2,baseline,0.011323362588882446,1.0,0.00048355013132095337,0.011323362588882446,0.31310486793518066,0.3017815351486206,0.30653685331344604,0.3070204257965088
61b1be06d54242c0a5cdaf78727c2a3a,baseline,0.0008144229650497437,1.0,-0.0008144229650497437,0.0008144229650497437,0.2425820380449295,0.24176762998104095,0.2425820380449295,0.24176762998104095
2fb41a885ab54214b2feabe31a23e9bc,baseline,-0.001401953399181366,1.0,0.001401953399181366,-0.001401953399181366,0.31660065054893494,0.3180026113986969,0.31660065054893494,0.3180026113986969
4794d1438dd645738d63ec84697551ea,baseline,-0.0004297196865081787,1.0,0.0004297196865081787,-0.0004297196865081787,0.3262946903705597,0.32672441005706787,0.3262946903705597,0.32672441005706787
9b1c089d2c894b9e97fc6a4397b2f564,baseline,0.04979957267642021,1.0,-0.019992627203464508,0.04979957267642021,0.24775348603725433,0.19795392453670502,0.2542852759361267,0.2342926561832428
7aa3c4746d194923afcab9c506c0efc7,baseline,0.03963255137205124,1.0,0.008811526000499725,0.03963255137205124,0.2936822772026062,0.25404974818229675,0.2706705927848816,0.2794821262359619
75a9ae1f3cac4e60a9238cdf9cf2b295,baseline,0.031248033046722412,1.0,-0.018479637801647186,0.031248033046722412,0.39113181829452515,0.3598838150501251,0.3993173837661743,0.38083773851394653
1d0be547d46c42a19b00330de6b5c4e7,baseline,-0.0005455203354358673,1.0,0.0005455203354358673,-0.0005455203354358673,0.2128003090620041,0.21334582567214966,0.2128003090620041,0.21334582567214966
df716991ac0141e78ae720a74a540726,baseline,0.0007716864347457886,1.0,-0.0007716864347457886,0.0007716864347457886,0.3112558424472809,0.3104841709136963,0.3112558424472809,0.3104841709136963
5b139cf307c54e5690795b68a3df0ef6,baseline,-0.01095447689294815,1.0,0.055409010499715805,-0.01095447689294815,0.2651364207267761,0.2760908901691437,0.2529718577861786,0.3083808720111847
e486e52b9c9c4e9aa51b6295c665d140,baseline,0.017865851521492004,1.0,0.0006637200713157654,0.017865851521492004,0.27193793654441833,0.25407207012176514,0.27558284997940063,0.2762466073036194
d24554d45b0743a2a2f1b43adff44e66,baseline,0.047697678208351135,1.0,-0.042881038039922714,0.047697678208351135,0.30669480562210083,0.2589971423149109,0.3098423480987549,0.26696133613586426
95e1e3152146483f9f4875f36333bfac,baseline,0.0015453100204467773,1.0,-0.0015453100204467773,0.0015453100204467773,0.26620614528656006,0.2646608352661133,0.26620614528656006,0.2646608352661133
f1804831e66c463fb91eddafdc475c16,baseline,0.03143414109945297,1.0,0.003504417836666107,0.03143414109945297,0.24747437238693237,0.2160402536392212,0.22770896553993225,0.23121337592601776
dd26426e90e94f9081064571adc38250,baseline,-0.00025290995836257935,1.0,0.00025290995836257935,-0.00025290995836257935,0.2993282973766327,0.2995811998844147,0.2993282973766327,0.2995811998844147
f64ec318b1204eaeb30330839c62e556,baseline,-0.014275230467319489,1.0,0.03766973689198494,-0.014275230467319489,0.25615209341049194,0.2704273462295532,0.23284760117530823,0.27051734924316406
c73828f07e6c4a4880b0bac11012d17c,baseline,0.00046315044164657593,1.0,-0.00046315044164657593,0.00046315044164657593,0.16929270327091217,0.1688295602798462,0.16929270327091217,0.1688295602798462
42f637f5781443b9a3e115d03071b19f,baseline,-0.000810578465461731,1.0,0.03831033408641815,-0.000810578465461731,0.2725294232368469,0.27333998680114746,0.2517879605293274,0.29009827971458435
2b2d85fcdc18472ebcba9a5955e8e5fd,baseline,-0.0007329843938350677,1.0,0.0007329843938350677,-0.0007329843938350677,0.22662191092967987,0.22735489904880524,0.22662191092967987,0.22735489904880524
11c9670f685441fab536c0651af13d57,baseline,0.03872210532426834,1.0,-0.01289072260260582,0.03872210532426834,0.2472527027130127,0.20853060483932495,0.24370041489601135,0.23080968856811523
c03b0873f39b4abb9673b229390cb5f4,baseline,-0.0015344321727752686,1.0,0.0015344321727752686,-0.0015344321727752686,0.29415076971054077,0.2956852316856384,0.29415076971054077,0.2956852316856384
d35f8d3d267f4fe4a18abb89758c34ab,baseline,0.0001468658447265625,1.0,-0.0001468658447265625,0.0001468658447265625,0.3544154167175293,0.3542685806751251,0.3544154167175293,0.3542685806751251
1e210e7a3a67481ca20e9bd13b80fee1,baseline,0.0033236294984817505,1.0,-0.0033236294984817505,0.0033236294984817505,0.29430273175239563,0.2909791171550751,0.29430273175239563,0.2909791171550751
6ccb03f85f284aabb7d89de7eaabe76b,baseline,0.0013025999069213867,1.0,-0.0013025999069213867,0.0013025999069213867,0.19166047871112823,0.19035786390304565,0.19166047871112823,0.19035786390304565
9dc0d34b504c4a0499e6f354edf46fb3,baseline,0.04554525017738342,1.0,-0.03993222489953041,0.04554525017738342,0.25763511657714844,0.21208986639976501,0.26012349128723145,0.22019125521183014
9ab2c2ca7bd7457db5d56b88efe91a52,baseline,0.0006643682718276978,1.0,-0.0006643682718276978,0.0006643682718276978,0.28076598048210144,0.28010159730911255,0.28076598048210144,0.28010159730911255
9b1e8d2f7dff4d6080787bb562e9d04b,baseline,0.004852138459682465,1.0,-0.004852138459682465,0.004852138459682465,0.28519612550735474,0.28034400939941406,0.28519612550735474,0.28034400939941406
da8d4b272000498cb50b2852a8fda7f7,baseline,-0.001466989517211914,1.0,0.001466989517211914,-0.001466989517211914,0.29222506284713745,0.29369205236434937,0.29222506284713745,0.29369205236434937
78fb339d064f4a4e97b4abf57c2802f1,baseline,-0.0002942606806755066,1.0,0.0002942606806755066,-0.0002942606806755066,0.29269111156463623,0.29298534989356995,0.29269111156463623,0.29298534989356995
95447fa07b594916868acb03a6b01d5e,baseline,-3.7103891372680664e-06,1.0,3.7103891372680664e-06,-3.7103891372680664e-06,0.31882885098457336,0.31883254647254944,0.31882885098457336,0.31883254647254944
abe1d38a93e34d689ed9c23cffec9eb4,baseline,-1.4334917068481445e-05,1.0,1.4334917068481445e-05,-1.4334917068481445e-05,0.31150850653648376,0.31152284145355225,0.31150850653648376,0.31152284145355225
78ece67398414aa1b4bc364c7d4ffba7,baseline,-0.0006232410669326782,1.0,0.0006232410669326782,-0.0006232410669326782,0.2936311960220337,0.2942544221878052,0.2936311960220337,0.2942544221878052
0df8b2148218491fa4a25aabdfa73a7f,baseline,0.014834783971309662,1.0,0.03981069475412369,0.014834783971309662,0.24836687743663788,0.2335321009159088,0.22788456082344055,0.26769524812698364
9842f0afe4c3418bb03dd8fb1eaafcdc,baseline,0.0023683086037635803,1.0,0.0475916713476181,0.0023683086037635803,0.292510986328125,0.29014265537261963,0.27843818068504333,0.32602983713150024
358e0c0ff43c4bdfb14793ae6ff494e5,baseline,0.0012590810656547546,1.0,-0.0012590810656547546,0.0012590810656547546,0.3474119305610657,0.3461528420448303,0.3474119305610657,0.3461528420448303
1364af2375d54d77a7d0dc5e5b751bec,baseline,0.0022019147872924805,1.0,-0.0022019147872924805,0.0022019147872924805,0.2958410680294037,0.2936391532421112,0.2958410680294037,0.2936391532421112
2329c9dcb7b14e3b8fc0f6edf5f1650e,baseline,0.00030032917857170105,1.0,-0.00030032917857170105,0.00030032917857170105,0.2556282877922058,0.2553279399871826,0.2556282877922058,0.2553279399871826
ef3e9de2c6ef46b186e7bc1ec004da0e,baseline,0.042443759739398956,1.0,-0.02084328979253769,0.042443759739398956,0.30569592118263245,0.2632521390914917,0.3005375266075134,0.27969425916671753
